date,eccentricity,semi_major_axis_km,orbital_period_sec,mean_anomaly_deg,semi_major_axis_au,orbital_period_year
A.D. 2023-Sep-22 00:00:00.0000,0.01707277630084124,149618315.0777744,31564618.05442499,257.9709671327606,1.0001366622243937,1.0002223887249027
A.D. 2023-Oct-02 00:00:00.0000,0.01659241995124615,149482651.3511592,31521696.80976246,264.4342984783426,0.9992298062245026,0.9988622965549491
A.D. 2023-Oct-12 00:00:00.0000,0.01662929725809126,149712185.3271419,31594328.08617773,279.4951961138804,1.0007641460844798,1.0011638428200411
A.D. 2023-Oct-22 00:00:00.0000,0.01710625847801902,149604042.4284099,31560101.56209481,286.5721657127746,1.000041255456251,1.0000792697193326
A.D. 2023-Nov-01 00:00:00.0000,0.01622306831949443,149493123.5147451,31525009.29596566,294.8399244433843,0.9992998083143512,0.9989672629086388
A.D. 2023-Nov-11 00:00:00.0000,0.01704005888428382,149720133.8911922,31596844.24282627,308.9576683392549,1.000817278953371,1.001243575012874
A.D. 2023-Nov-21 00:00:00.0000,0.01691686190627082,149585315.3470955,31554175.81888919,315.270006546002,0.9999160726496591,0.9998914942482695
A.D. 2023-Dec-01 00:00:00.0000,0.01604430530758397,149499573.4486497,31527049.55455485,325.6805671937373,0.9993429234594695,0.9990319148019764
A.D. 2023-Dec-11 00:00:00.0000,0.01738509026245378,149726601.1779808,31598891.54322666,337.6479758446592,1.000860510095354,1.0013084500477432
A.D. 2023-Dec-21 00:00:00.0000,0.01658695562473216,149565115.127238,31547784.35157071,344.5708277575673,0.9997810425201328,0.9996889608706211
A.D. 2023-Dec-31 00:00:00.0000,0.01607803309147134,149503680.2206578,31528348.64147651,356.5474122894416,0.9993703755347488,0.9990730803824279
A.D. 2024-Jan-10 00:00:00.0000,0.01755199887968251,149732384.7991572,31600722.45819132,5.77675373306168,1.00089917121499,1.0013664682419234
A.D. 2024-Jan-20 00:00:00.0000,0.0162912833239277,149548123.4154355,31542408.40911794,14.66817575273896,0.9996674599422324,0.9995186075340945
A.D. 2024-Jan-30 00:00:00.0000,0.01629726742740212,149508194.4998103,31529776.65489902,27.0727672320023,0.9994005516270381,0.9991183313971601
A.D. 2024-Feb-09 00:00:00.0000,0.01746097348816704,149737479.2883043,31602335.24463549,33.73221875536037,1.000933225771537,1.0014175743603915
A.D. 2024-Feb-19 00:00:00.0000,0.01617610879334462,149536856.3166963,31538843.82340532,45.27428705151385,0.9995921440390949,0.9994056526290124
A.D. 2024-Feb-29 00:00:00.0000,0.01662921315576256,149514757.1340446,31531852.66815379,56.98045792182776,0.9994444201273287,0.9991841162874803
A.D. 2024-Mar-10 00:00:00.0000,0.01710725289054449,149740228.2255546,31603205.50005523,62.04303598943324,1.0009516012820803,1.0014451510905529
A.D. 2024-Mar-20 00:00:00.0000,0.01627387155024962,149530034.8124697,31536685.76109052,75.87665905092919,0.9995465450997874,0.9993372677608728
A.D. 2024-Mar-30 00:00:00.0000,0.01696177780742924,149523779.5300923,31534706.8729179,86.17425924071884,0.9995047311197612,0.9992745605786848
A.D. 2024-Apr-09 00:00:00.0000,0.01660187885247913,149739061.923675,31602836.27256066,91.22525959903659,1.0009438050355552,1.0014334509772815
A.D. 2024-Apr-19 00:00:00.0000,0.01653039365241779,149524517.4427992,31534940.3129402,106.0892238072886,0.9995096637615393,0.9992819578466106
A.D. 2024-Apr-29 00:00:00.0000,0.01717174281991455,149535327.3761778,31538360.12098416,114.7917502341661,0.9995819237029943,0.9993903250242148
A.D. 2024-May-09 00:00:00.0000,0.01614167231360578,149733641.5478489,31601120.31049954,121.4814942307219,1.0009075720611105,1.0013790754208032
A.D. 2024-May-19 00:00:00.0000,0.01686494978031188,149517664.5806643,31532772.41974783,135.7272551408367,0.9994638552075615,0.9992132614567594
A.D. 2024-May-29 00:00:00.0000,0.01716643682069775,149550231.898939,31543075.48752079,143.1856971588369,0.9996815542839075,0.9995397459731029
A.D. 2024-Jun-08 00:00:00.0000,0.01589774997984359,149725493.8407063,31598540.99864605,152.5020930734404,1.0008531080028689,1.0012973419602902
A.D. 2024-Jun-18 00:00:00.0000,0.01718715705833204,149508347.0634001,31529824.91610461,164.7444876272871,0.9994015714516457,0.9991198607024809
A.D. 2024-Jun-28 00:00:00.0000,0.01693796963732707,149568481.9743243,31548849.61164312,171.8811850016988,0.9998035485028083,0.9997227169253403
A.D. 2024-Jul-08 00:00:00.0000,0.0159252032965642,149716885.5558893,31595815.95840078,183.6764964388576,1.0007955651730365,1.0012109906457012
A.D. 2024-Jul-18 00:00:00.0000,0.01739757627037859,149496992.8246093,31526233.24007626,193.2250161933094,0.9993256730532417,0.999006047357095
A.D. 2024-Jul-28 00:00:00.0000,0.01660760376288269,149587965.0445041,31555014.23061388,201.3391736173959,0.9999337847828346,0.9999180619126258
A.D. 2024-Aug-07 00:00:00.0000,0.01617642877254852,149709401.4830681,31593446.8625758,214.4727053448573,1.0007455372362337,1.0011359185291593
A.D. 2024-Aug-17 00:00:00.0000,0.01740755735135044,149484490.8229062,31522278.6510185,221.4061838568076,0.9992421023336545,0.9988807339917642
A.D. 2024-Aug-27 00:00:00.0000,0.01636274866601905,149605719.6504014,31560632.29753376,231.584795095115,1.0000524669927766,1.000096087710528
A.D. 2024-Sep-06 00:00:00.0000,0.01655293374600986,149704252.1375306,31591816.86298243,244.6070492411498,1.0007111159873654,1.0010842669589077
A.D. 2024-Sep-16 00:00:00.0000,0.01716723266418992,149472825.6071387,31518588.90026844,249.6966282815959,0.9991641251825565,0.9987638128459845
A.D. 2024-Sep-26 00:00:00.0000,0.01631711765587162,149620635.1595716,31565352.25043212,262.1857634673034,1.0001521710132977,1.0002456539924494
A.D. 2024-Oct-06 00:00:00.0000,0.01694611243443076,149701820.8771679,31591047.26940867,274.0274455316255,1.000694864015654,1.0010598800101613
A.D. 2024-Oct-16 00:00:00.0000,0.01671891371473183,149464687.0117804,31516014.71781924,278.6380673039916,0.9991097220328312,0.9986822419264849
A.D. 2024-Oct-26 00:00:00.0000,0.01646337276107707,149633592.0573539,31569452.59958966,292.6315783101324,1.000238782525358,1.0003755862166217
A.D. 2024-Nov-05 00:00:00.0000,0.01725433970251549,149700754.5951211,31590709.74940024,302.8275202043877,1.0006877363604154,1.0010491846464953
A.D. 2024-Nov-15 00:00:00.0000,0.01622589597838573,149461254.8262788,31514929.16185983,308.6368571539141,0.9990867792898259,0.998647842733916
A.D. 2024-Nov-25 00:00:00.0000,0.01671998016174427,149644359.7655648,31572860.29131801,322.5865576929742,1.000310760209001,1.0004835694513527
A.D. 2024-Dec-05 00:00:00.0000,0.0173795602332197,149697004.469808,31589522.69748455,331.2074889460042,1.0006626683210407,1.001011569241151
A.D. 2024-Dec-15 00:00:00.0000,0.01589373544695157,149461148.7549649,31514895.61307136,339.6090042414333,0.9990860702468869,0.998646779636961
A.D. 2024-Dec-25 00:00:00.0000,0.01698067150971178,149651856.6640827,31575232.93163411,351.9580750435472,1.0003608738802905,1.0005587538860403
